ARIHANT,EQ,38.1,43,38.1,42.25,43,40.1,67,2727.9,04-APR-2016,5,INE413D01011,
AROGRANITE,EQ,41.55,43.5,41.45,43.4,43,42,2615,112031.55,04-APR-2016,38,INE210C01013,
ARROWCOAT,EQ,544.05,560,544.05,549.55,548,555.4,3719,2043307.85,04-APR-2016,353,INE570D01018,
ARROWTEX,EQ,35.4,36.5,34.75,35.35,35.2,35.05,49682,1769430.9,04-APR-2016,425,INE933J01015,
ARSHIYA,EQ,32.45,32.7,31.35,31.75,31.7,31.75,39050,1247106.45,04-APR-2016,381,INE968D01022,
ARSSINFRA,EQ,34.45,34.45,33.3,33.85,34,34.25,73273,2478631.55,04-APR-2016,486,INE267I01010,
ARVIND,EQ,273.65,275.95,268.35,270.3,269.2,273.1,1500892,406031516.1,04-APR-2016,16620,INE034A01011,
ARVINDREM,BZ,3.8,4.2,3.8,4.05,3.95,4,26669,108285.55,04-APR-2016,62,INE211C01037,
ARVINFRA,EQ,84.05,91.3,83.2,91.05,91.3,83,98220,8703453.05,04-APR-2016,1089,INE034S01021,
ASAHIINDIA,EQ,152,154,149.4,153.45,153.05,152.05,27446,4201636.9,04-APR-2016,186,INE439A01020,
ASAHISONG,EQ,129.1,150.05,129.1,139,138.2,131.95,49287,7053584.65,04-APR-2016,1420,INE228I01012,
ASAL,EQ,37.6,37.6,33,35.9,36.1,33.45,1460,51926,04-APR-2016,13,INE900C01027,
ASHAPURMIN,EQ,77.5,78,76.2,76.7,76.5,76.95,90155,6956763.3,04-APR-2016,1072,INE348A01023,
ASHIANA,EQ,137,138.75,133.55,137.6,135,136.7,26749,3652108.6,04-APR-2016,417,INE365D01021,
ASHIMASYN,EQ,11.75,11.75,11.2,11.75,11.75,11.2,28039,327898.2,04-APR-2016,149,INE440A01010,
ASHOKA,EQ,171.9,174.7,171.05,173.5,172.55,171.1,74895,12964201.75,04-APR-2016,1705,INE442H01029,
ASHOKLEY,EQ,111,111,109.4,110.1,110.05,110.25,6908274,760738687.7,04-APR-2016,32352,INE208A01029,
ASIANHOTNR,EQ,110.5,119.9,110.5,119.85,119.9,110.5,602,71222,04-APR-2016,8,INE363A01022,
ASIANPAINT,EQ,874,888.5,865.25,886.15,884.95,870,662760,581006289.1,04-APR-2016,30090,INE021A01026,
ASIANTILES,EQ,151.6,152.7,149,150.65,151.1,151.9,17889,2693440.75,04-APR-2016,270,INE022I01019,
ASSAMCO,EQ,5.7,6.1,5.7,5.75,5.75,5.65,1087028,6354498.5,04-APR-2016,1067,INE442A01024,
ASTEC,EQ,201.5,210,200,208.2,209,201.5,29937,6173581.35,04-APR-2016,854,INE563J01010,
ASTRAL,EQ,403,411,397.95,409.3,408.05,407.85,308694,124731059.8,04-APR-2016,342,INE006I01046,
ASTRAMICRO,EQ,111,112.55,110.15,111.65,112.4,110.85,298114,33167070.8,04-APR-2016,3169,INE386C01029,
ASTRAZEN,EQ,1163.05,1174.9,1157,1160,1158.6,1162.25,2620,3054338.05,04-APR-2016,543,INE203A01020,
ATFL,EQ,468,477,465.65,474.25,470.1,464.5,1291,609392.65,04-APR-2016,100,INE209A01019,
ATLANTA,EQ,31.2,31.9,31.2,31.8,31.6,31.75,7847,247858,04-APR-2016,84,INE285H01022,
ATLASCYCLE,EQ,190.6,193.5,187.15,189.45,189.9,191.45,12656,2408659.45,04-APR-2016,367,INE446A01017,
ATNINTER,EQ,0.5,0.5,0.5,0.5,0.5,0.45,13350,6675,04-APR-2016,6,INE803A01027,
ATUL,EQ,1528.95,1555,1495.2,1536.35,1555,1519.95,6455,9841708.35,04-APR-2016,633,INE100A01010,
ATULAUTO,EQ,524.6,527.8,500.5,509.05,510,519.35,94059,48206227.5,04-APR-2016,2414,INE951D01028,
AURIONPRO,EQ,132.5,150,132,141.75,141.95,131.35,260883,37280729.65,04-APR-2016,4159,INE132H01018,
AUROPHARMA,EQ,732,755,731.05,753.95,755,729.9,1231947,917006510.75,04-APR-2016,36682,INE406A01037,
AUSTRAL,EQ,0.3,0.35,0.3,0.35,0.3,0.3,76781,25559.3,04-APR-2016,28,INE455J01027,
AUTOAXLES,EQ,595.5,600,577.3,586.3,590,577.5,4898,2880020.1,04-APR-2016,263,INE449A01011,
AUTOIND,EQ,38.4,39.4,37.6,38.05,38,38,28066,1078875.3,04-APR-2016,184,INE718H01014,
AUTOLITIND,EQ,49.9,49.95,46.35,47.95,47.95,47.1,3003,142733,04-APR-2016,67,INE448A01013,
AVANTIFEED,EQ,402.1,413,400,409.75,412.9,400.55,21332,8638552.4,04-APR-2016,632,INE871C01020,
AVTNPL,EQ,28.6,30.6,28.25,29.55,29.55,28.15,57526,1682848.55,04-APR-2016,358,INE488D01021,
